actor_id,full_name,alias,nationality,role,primary_region,threat_score
ACT-DB3AAE2B,Allison Hill,A. Hill,Indian,Broker,Tamil Nadu,41
ACT-5BCEA423,Noah Rhodes,Noah Rho.,Indian,Collector,Kerala,96
ACT-A9210483,Angie Henderson,A. Henderson,Indian,Buyer,West Bengal,64
ACT-20D0E245,Daniel Wagner,D. Wagner,Indian,Collector,Tamil Nadu,37
ACT-8A3A138F,Cristian Santos,C. Santos,Indian,Buyer,Kerala,35
ACT-F20CA79B,Connie Lawrence,Lawrence Connie,Indian,Transporter,West Bengal,67
ACT-2AF63B3F,Abigail Shaffer,Abigail S.,Indian,Collector,West Bengal,30
ACT-16E31CC7,Gina Moore,Gina M.,Indian,Broker,Maharashtra,29
ACT-1D7B2448,Gabrielle Davis,Gabrielle D.,Indian,Collector,Kerala,21
ACT-EBD0B65D,Ryan Munoz,R. Munoz,Indian,Broker,Maharashtra,92
ACT-C1CE62FB,Monica Herrera,Monica H.,Indian,Collector,West Bengal,68
ACT-451B57E0,Jamie Arnold,J. Arnold,Indian,Exporter,West Bengal,20
ACT-F73F1F34,Lisa Hensley,Lisa H.,Indian,Buyer,West Bengal,56
ACT-BA821236,Michele Williams,Michele Wil.,Indian,Collector,West Bengal,15
ACT-0270A250,Dylan Miller,Dylan M.,Indian,Collector,Kerala,39
ACT-3B25DA0A,Brian Ramirez,Ramirez Brian,Indian,Broker,Tamil Nadu,68
ACT-28E1066F,Holly Wood,Holly Woo.,Indian,Broker,Andhra Pradesh,55
ACT-C8A0BC45,Derek Zuniga,Derek Z.,Indian,Collector,Kerala,87
ACT-71CD333C,Lisa Jackson,Lisa Jac.,Indian,Transporter,Kerala,69
ACT-BEF7869A,Carla Gray,Carla G.,Indian,Buyer,Maharashtra,38
ACT-7A15D23A,Margaret Hawkins DDS,M. Hawkins DDS,Indian,Transporter,Andhra Pradesh,14
ACT-2D0BDD94,Patty Perez,Perez Patty,Indian,Broker,Andhra Pradesh,18
ACT-157A0D7D,Ethan Adams,Ethan A.,Indian,Transporter,Kerala,93
ACT-F0092B27,Tommy Walter,Walter Tommy,Indian,Exporter,Maharashtra,28
ACT-5535B8FF,Matthew Foster,Matthew Fos.,Indian,Transporter,Andhra Pradesh,98
ACT-0D3A69A7,Judy Baker,Judy B.,Indian,Buyer,West Bengal,64
ACT-3EC2CAB2,Justin Baker,Baker Justin,Indian,Broker,West Bengal,38
ACT-E039AAEB,Stephanie Ross,Ross Stephanie,Indian,Collector,Kerala,16
ACT-A3B509D1,Zachary Hicks,Zachary Hic.,Indian,Transporter,Tamil Nadu,97
ACT-F70E04EC,Anthony Rodriguez,A. Rodriguez,Indian,Exporter,Maharashtra,58
ACT-F134FC9B,Rebecca Henderson,Henderson Rebecca,Indian,Buyer,West Bengal,42
ACT-95A4317F,James Ferrell,J. Ferrell,Indian,Collector,West Bengal,97
ACT-2DA4F2E3,Tricia Valencia,Tricia V.,Indian,Broker,West Bengal,24
ACT-61CA522C,Nathan Maldonado,Maldonado Nathan,Indian,Transporter,Andhra Pradesh,68
ACT-1DF99FFB,Debra Davidson,Debra D.,Indian,Buyer,Tamil Nadu,32
ACT-6F081E40,Jeffrey Chavez,J. Chavez,Indian,Broker,West Bengal,91
