alert_id,pattern_type,priority,entity_type,entity_id,risk_score,confidence,first_detected,last_detected,incident_count,related_actor_count,related_route_count,related_location_count,explanation
ALT-5FBE7B74,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-03-20_30d,100.0,100.0,2025-03-20,2025-04-19,16,16,14,5,"Temporal trafficking cluster: 16 incidents within 30 days (2025-03-20 – 2025-04-19) sharing route RTE-844D2BD8, species Elephant, source Kochi Port; 16 actor(s) involved."
ALT-6D725D14,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-10-24_30d,100.0,100.0,2025-10-24,2025-11-20,18,18,15,5,"Temporal trafficking cluster: 18 incidents within 30 days (2025-10-24 – 2025-11-20) sharing route RTE-05837773, species Pangolin, source Mumbai Port; 18 actor(s) involved."
ALT-9028F02F,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-07_30d,100.0,100.0,2025-11-07,2025-12-05,17,17,14,5,"Temporal trafficking cluster: 17 incidents within 30 days (2025-11-07 – 2025-12-05) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 17 actor(s) involved."
ALT-DC807B72,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-10-29_30d,100.0,100.0,2025-10-29,2025-11-28,17,17,14,5,"Temporal trafficking cluster: 17 incidents within 30 days (2025-10-29 – 2025-11-28) sharing route RTE-05837773, species Pangolin, source Kochi Port; 17 actor(s) involved."
ALT-EFA5DC3E,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-15_7d,100.0,100.0,2025-11-15,2025-11-20,8,8,7,4,"Temporal trafficking cluster: 8 incidents within 7 days (2025-11-15 – 2025-11-20) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 8 actor(s) involved."
ALT-A9B64E6A,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2024-08-17_30d,100.0,100.0,2024-08-17,2024-09-15,16,14,14,5,"Temporal trafficking cluster: 16 incidents within 30 days (2024-08-17 – 2024-09-15) sharing route RTE-5A090E6C, species Pangolin, source Mumbai Port; 14 actor(s) involved."
ALT-9184B648,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2024-04-16_30d,100.0,100.0,2024-04-16,2024-05-16,16,15,13,5,"Temporal trafficking cluster: 16 incidents within 30 days (2024-04-16 – 2024-05-16) sharing route RTE-15641305, species Elephant, source Tuticorin Port; 15 actor(s) involved."
ALT-BF0FD5B2,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-02_30d,100.0,100.0,2025-11-02,2025-12-02,17,17,14,5,"Temporal trafficking cluster: 17 incidents within 30 days (2025-11-02 – 2025-12-02) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 17 actor(s) involved."
ALT-56BB1ABE,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-10-22_30d,100.0,100.0,2025-10-22,2025-11-20,20,18,16,5,"Temporal trafficking cluster: 20 incidents within 30 days (2025-10-22 – 2025-11-20) sharing route RTE-05837773, species Pangolin, source Kochi Port; 18 actor(s) involved."
ALT-5E836CAE,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-10-28_30d,100.0,100.0,2025-10-28,2025-11-27,18,18,15,5,"Temporal trafficking cluster: 18 incidents within 30 days (2025-10-28 – 2025-11-27) sharing route RTE-05837773, species Pangolin, source Kochi Port; 18 actor(s) involved."
ALT-F6B4A6BB,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-07_14d,100.0,100.0,2025-11-07,2025-11-20,12,12,10,5,"Temporal trafficking cluster: 12 incidents within 14 days (2025-11-07 – 2025-11-20) sharing route RTE-15641305, species Leopard, source Kochi Port; 12 actor(s) involved."
ALT-3923F355,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-03-23_30d,100.0,100.0,2025-03-23,2025-04-19,15,15,13,5,"Temporal trafficking cluster: 15 incidents within 30 days (2025-03-23 – 2025-04-19) sharing route RTE-844D2BD8, species Elephant, source Visakhapatnam; 15 actor(s) involved."
